なし	40
ちょっとあしもとガード	37
ちょっとステルス	－
ちょっとゴールド	29
ちょっとおたから	29
ちょっとレアおたから	29
ちょっと激レアおたから	29
ちょっとかいふく	42
みんなちょっとかいふく	－
ちょっとふっかつ	44
みんなちょっとふっかつ	－
げどく	44
やけどなおす	46
かわかす	46
かぜなおす	46
どろおとす	46
おはらい	46
かんでんなおす	46
あたためる	46
しびれとる	46
めざめる	46
めぐすり	46
なおす	43
むてき	37
こうふん	37
たくわえる	45
わざはねかえす	－
とげとげ	43
すこしつよくなれ	36
みんなつよめになれ	－
すこしかたくなれ	36
みんなかためになれ	－
すこしはやくなれ	36
みんなはやめになれ	－
すこしかわしやすい	36
みんなあてられにくい	－
ひっちゅう	－
どくどく	37
もうどく	－
ねむらせる	37
しびれさせる	37
めかくし	37
ブレスふうじ	37
アンテナふうじ	37
すこしよわくなれ	37
みんなよわめになれ	－
すこしやわくなれ	37
みんなやわらかめ	－
すこしおそくなれ	37
みんなおそめになれ	－
ひのたま	33
ばくはつ	34
やまかじ	－
とがったこおり	33
ロックアイス	34
あられ	－
つむじかぜ	33
ビルかぜ	34
かまいたち	－
らくせき	33
いしつぶて	34
マグニチュード3	－
せいでんき	33
いなずま	34
ひゃくボルト	－
みずでっぽう	33
バケツのみず	34
たかなみ	－
よわいこうせん	33
スポットライト	34
ふゆのひさし	－
おどかす	33
ダークボール	34
くろいきり	－
つかまえる	37
